task_id,split,domain,trajectory_status,completed_rounds,final_quality,quality_round_1,quality_round_2,quality_round_3,cumulative_input_tokens,cumulative_output_tokens,cumulative_total_tokens,cumulative_wall_clock_ms,cumulative_api_latency_ms,cumulative_cost_usd,cumulative_logical_calls,transitions,failure_reason,scoring_error
mmlupro::test::6418,test,mmlu_pro,complete,3,1.0,0.0,0.0,1.0,20687.0,2305.0,22992.0,16857.0,39023.0,0.0032605944,21.0,neutral>repair,,
mmlupro::test::4227,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,21713.0,2669.0,24382.0,16081.0,36560.0,0.00290906,21.0,neutral>neutral,,
mmlupro::test::4556,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,28420.0,2880.0,31300.0,17579.0,40234.0,0.0035910112000000004,21.0,neutral>neutral,,
mmlupro::test::9877,train,mmlu_pro,complete,3,0.0,0.0,0.0,0.0,20954.0,2129.0,23083.0,16676.0,36620.0,0.0032486944,21.0,neutral>neutral,,
mmlupro::test::10434,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,17980.0,1827.0,19807.0,13690.0,30664.0,0.0022560496,21.0,neutral>neutral,,
mmlupro::test::1739,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,26179.0,2891.0,29070.0,20049.0,43869.0,0.0041935544,21.0,neutral>neutral,,
mmlupro::test::6386,train,mmlu_pro,complete,3,0.0,0.0,0.0,0.0,19919.0,1737.0,21656.0,13126.0,32499.0,0.0029940344,21.0,neutral>neutral,,
mmlupro::test::3540,validation,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,17845.0,1785.0,19630.0,13183.0,31548.0,0.0022253896000000006,21.0,neutral>neutral,,
mmlupro::test::8442,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,21999.0,1529.0,23528.0,12958.0,30863.0,0.0032269944,21.0,neutral>neutral,,
mmlupro::test::3223,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,21260.0,1482.0,22742.0,13430.0,30493.0,0.0023552256,21.0,neutral>neutral,,
mmlupro::test::1850,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,19384.0,1769.0,21153.0,14439.0,33347.0,0.0029280944000000006,21.0,neutral>neutral,,
mmlupro::test::9515,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,22909.0,2947.0,25856.0,19897.0,43910.0,0.0037514344000000002,21.0,neutral>neutral,,
mmlupro::test::10447,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,19437.0,2205.0,21642.0,13478.0,31768.0,0.0025307464,21.0,neutral>neutral,,
mmlupro::test::4401,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,28627.0,3775.0,32402.0,21318.0,48416.0,0.0039759608,21.0,neutral>neutral,,
mmlupro::test::11564,test,mmlu_pro,complete,3,0.0,0.0,0.0,0.0,30962.0,3538.0,34500.0,21044.0,48258.0,0.0049214032000000005,21.0,neutral>neutral,,
mmlupro::test::9986,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,25182.0,3384.0,28566.0,18956.0,44973.0,0.0041920144,21.0,neutral>neutral,,
mmlupro::test::7471,train,mmlu_pro,complete,3,0.0,0.0,0.0,0.0,18135.0,1345.0,19480.0,11530.0,27151.0,0.0020901048,21.0,neutral>neutral,,
mmlupro::test::361,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,18651.0,1639.0,20290.0,12697.0,31011.0,0.0022446648000000002,21.0,neutral>neutral,,
mmlupro::test::5532,train,mmlu_pro,complete,3,0.0,0.0,0.0,0.0,17807.0,1767.0,19574.0,14390.0,34241.0,0.0027067544,21.0,neutral>neutral,,
mmlupro::test::10972,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,18335.0,1776.0,20111.0,14113.0,31309.0,0.0027831944000000003,21.0,neutral>neutral,,
mmlupro::test::2130,test,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,18884.0,1646.0,20530.0,12812.0,30746.0,0.0028236544000000002,21.0,neutral>neutral,,
mmlupro::test::4097,test,mmlu_pro,complete,3,0.0,0.0,0.0,0.0,34997.0,6191.0,41188.0,36332.0,72902.0,0.0048593384000000005,21.0,neutral>neutral,,
mmlupro::test::5383,test,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,16962.0,1498.0,18460.0,12816.0,29496.0,0.0025131344,21.0,neutral>neutral,,
mmlupro::test::1621,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,30510.0,2135.0,32645.0,16001.0,39525.0,0.0045882143999999995,21.0,neutral>neutral,,
mmlupro::test::7842,train,mmlu_pro,complete,3,0.0,1.0,0.0,0.0,22940.0,3461.0,26401.0,23033.0,47339.0,0.0037240784,21.0,harm>neutral,,
mmlupro::test::11736,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,19354.0,1740.0,21094.0,13240.0,31183.0,0.0029157744000000005,21.0,neutral>neutral,,
mmlupro::test::968,test,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,26688.0,2131.0,28819.0,16319.0,39253.0,0.0040520144,21.0,neutral>neutral,,
mmlupro::test::1915,validation,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,26601.0,2012.0,28613.0,16566.0,38500.0,0.0040065144,21.0,neutral>neutral,,
mmlupro::test::4839,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,17877.0,1867.0,19744.0,13670.0,32341.0,0.0027445544000000003,21.0,neutral>neutral,,
mmlupro::test::2895,test,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,21854.0,2141.0,23995.0,15891.0,36166.0,0.0026755904000000004,21.0,neutral>neutral,,
mmlupro::test::2032,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,19253.0,1673.0,20926.0,13576.0,33232.0,0.0028828744000000002,21.0,neutral>neutral,,
mmlupro::test::7433,validation,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,23965.0,2304.0,26269.0,14939.0,36493.0,0.0029465240000000003,21.0,neutral>neutral,,
